Time(ms),USB(mA),USB Voltage(V),
np.float64(0.09162092208862305),np.float64(233.9001241302075),np.float64(4.917125),
np.float64(0.09182381629943848),np.float64(233.88688879578035),np.float64(4.91675),
np.float64(0.0920267105102539),np.float64(233.9927714711975),np.float64(4.916875),
np.float64(0.09222602844238281),np.float64(233.6089467728104),np.float64(4.91725),
np.float64(0.09242987632751465),np.float64(233.55600543510184),np.float64(4.915875),
np.float64(0.09262681007385254),np.float64(233.7677707859361),np.float64(4.917375),
np.float64(0.09283280372619629),np.float64(233.48982876296614),np.float64(4.917),
np.float64(0.09302377700805664),np.float64(236.6398383566257),np.float64(4.913375),
np.float64(0.09322381019592285),np.float64(237.18248706813847),np.float64(4.91675),
np.float64(0.0934138298034668),np.float64(235.75307095000724),np.float64(4.916375),
np.float64(0.09361386299133301),np.float64(233.86041812692608),np.float64(4.917625),
np.float64(0.09382390975952148),np.float64(233.75453545150896),np.float64(4.916875),
np.float64(0.09403371810913086),np.float64(233.71482944822753),np.float64(4.917),
np.float64(0.09422898292541504),np.float64(230.6442318611308),np.float64(4.9197500000000005),
np.float64(0.0944359302520752),np.float64(230.4854078480051),np.float64(4.9182500000000005),
np.float64(0.09462976455688477),np.float64(232.0604126448349),np.float64(4.917),
np.float64(0.09483003616333008),np.float64(233.37071075312187),np.float64(4.91725),
np.float64(0.0950319766998291),np.float64(232.92070938259906),np.float64(4.917375),
np.float64(0.09526896476745605),np.float64(232.98688605473478),np.float64(4.917625),
np.float64(0.09544897079467773),np.float64(233.66188811051896),np.float64(4.917),
np.float64(0.0956268310546875),np.float64(233.9001241302075),np.float64(4.917125),
np.float64(0.09584403038024902),np.float64(233.46335809411184),np.float64(4.917625),
np.float64(0.09605884552001953),np.float64(233.569240769529),np.float64(4.917125),
np.float64(0.09624385833740234),np.float64(233.64865277609184),np.float64(4.9175),
np.float64(0.09645581245422363),np.float64(233.7413001170818),np.float64(4.91625),
np.float64(0.09664082527160645),np.float64(233.93983013348893),np.float64(4.918),
np.float64(0.09685397148132324),np.float64(233.30453408098614),np.float64(4.9175),
np.float64(0.09705185890197754),np.float64(233.34424008426757),np.float64(4.91575),
np.float64(0.09724211692810059),np.float64(237.87072445834983),np.float64(4.913375),
np.float64(0.09744405746459961),np.float64(236.11042497954006),np.float64(4.918375),
np.float64(0.09763693809509277),np.float64(233.43688742525757),np.float64(4.917125),
np.float64(0.09784793853759766),np.float64(233.52953476624756),np.float64(4.916875),
np.float64(0.09804368019104004),np.float64(234.08541881218747),np.float64(4.917125),
np.float64(0.09823989868164062),np.float64(233.93983013348893),np.float64(4.917),
np.float64(0.09843587875366211),np.float64(233.39718142197614),np.float64(4.91675),
np.float64(0.09864997863769531),np.float64(234.07218347776035),np.float64(4.917125),
np.float64(0.09883904457092285),np.float64(233.71482944822753),np.float64(4.917),
np.float64(0.09904289245605469),np.float64(234.03247747447892),np.float64(4.917125),
np.float64(0.09924077987670898),np.float64(233.63541744166469),np.float64(4.916625),
np.float64(0.09971189498901367),np.float64(233.33100474984045),np.float64(4.91725),
np.float64(0.09990906715393066),np.float64(233.68835877937326),np.float64(4.917),
np.float64(0.09990906715393066),np.float64(234.04571280890605),np.float64(4.916875),
np.float64(0.10007905960083008),np.float64(233.7677707859361),np.float64(4.91675),
np.float64(0.1002507209777832),np.float64(234.25747815974032),np.float64(4.916375),
np.float64(0.10045289993286133),np.float64(235.88542429427866),np.float64(4.91525),
np.float64(0.10063982009887695),np.float64(237.06336905829423),np.float64(4.91525),
np.float64(0.10085082054138184),np.float64(235.80601228771582),np.float64(4.916375),
np.float64(0.10103893280029297),np.float64(234.8927742122431),np.float64(4.916375),
np.float64(0.10124087333679199),np.float64(234.17806615317747),np.float64(4.9175),
np.float64(0.10143184661865234),np.float64(234.2839488285946),np.float64(4.915875),
np.float64(0.10166501998901367),np.float64(232.7354147006191),np.float64(4.918),
np.float64(0.10184788703918457),np.float64(232.15305998582488),np.float64(4.91925),
np.float64(0.10205578804016113),np.float64(231.84864729400064),np.float64(4.9175),
np.float64(0.10224580764770508),np.float64(232.9339447170262),np.float64(4.91775),
np.float64(0.10244178771972656),np.float64(233.3177694154133),np.float64(4.917),
np.float64(0.10263800621032715),np.float64(233.39718142197614),np.float64(4.9175),
np.float64(0.10284209251403809),np.float64(233.10600406457905),np.float64(4.916875),
np.float64(0.10304093360900879),np.float64(236.91778037959565),np.float64(4.9145),
np.float64(0.10323786735534668),np.float64(236.9310157140228),np.float64(4.91475),
np.float64(0.10344076156616211),np.float64(237.18248706813847),np.float64(4.917625),
np.float64(0.1036536693572998),np.float64(232.81482670718194),np.float64(4.9190000000000005),
np.float64(0.10384392738342285),np.float64(232.58982602192054),np.float64(4.917375),
np.float64(0.10404706001281738),np.float64(233.1589454022876),np.float64(4.918),
np.float64(0.10423803329467773),np.float64(229.6383464446681),np.float64(4.919125),
np.float64(0.10444211959838867),np.float64(230.67070252998508),np.float64(4.9175),
np.float64(0.10463786125183105),np.float64(232.23247199238773),np.float64(4.91775),
np.float64(0.10485291481018066),np.float64(233.0927687301519),np.float64(4.917125),
np.float64(0.10504579544067383),np.float64(232.8412973760362),np.float64(4.9175),
np.float64(0.10524678230285645),np.float64(233.55600543510184),np.float64(4.91775),
np.float64(0.1054377555847168),np.float64(234.416302172866),np.float64(4.915625),
np.float64(0.1056358814239502),np.float64(236.00454230412294),np.float64(4.91525),
np.float64(0.10583686828613281),np.float64(235.07806889422307),np.float64(4.916375),
np.float64(0.10603165626525879),np.float64(233.91335946463465),np.float64(4.91675),
np.float64(0.10625290870666504),np.float64(234.1251248154689),np.float64(4.91675),
np.float64(0.10644698143005371),np.float64(234.36336083515744),np.float64(4.91675),
np.float64(0.10664081573486328),np.float64(234.42953750729313),np.float64(4.91575),
np.float64(0.10684680938720703),np.float64(234.91924488109737),np.float64(4.915625),
np.float64(0.10703206062316895),np.float64(234.44277284172028),np.float64(4.91625),
